train_loss: 1.6155258258183798,val_loss: 1.621456241607666, val_perplexity: 5.060454197423648
train_loss: 1.5986186106999716,val_loss: 1.59650106827418, val_perplexity: 4.9357323855833855
train_loss: 1.60939781665802,val_loss: 1.6154132604598999, val_perplexity: 5.029966180145404
train_loss: 1.6115573366483054,val_loss: 1.6219053506851195, val_perplexity: 5.0627274037603405
train_loss: 1.6129973689715067,val_loss: 1.5910227338473002, val_perplexity: 4.908766723831556
train_loss: 1.6112085183461506,val_loss: 1.5980663458506266, val_perplexity: 4.943464226469818
train_loss: 1.619648810227712,val_loss: 1.611504582564036, val_perplexity: 5.010344035822884
train_loss: 1.6123249451319377,val_loss: 1.6087929924329123, val_perplexity: 4.996776439575085
train_loss: 1.6184109409650167,val_loss: 1.596052630742391, val_perplexity: 4.933519514139211
train_loss: 1.586680324872335,val_loss: 1.5836570262908936, val_perplexity: 4.872743016595472
train_loss: 1.6096373160680135,val_loss: 1.5927353660265604, val_perplexity: 4.917180838768647
train_loss: 1.6351168274879455,val_loss: 1.6168004234631856, val_perplexity: 5.036948404760502
train_loss: 1.6203511714935304,val_loss: 1.6042207916577658, val_perplexity: 4.973982323810982
train_loss: 1.6099661747614542,val_loss: 1.625391670068105, val_perplexity: 5.080408491489659
train_loss: 1.6205370545387268,val_loss: 1.589212163289388, val_perplexity: 4.899887096347514
train_loss: 1.619842000802358,val_loss: 1.5968819936116536, val_perplexity: 4.937612889251051
train_loss: 1.627239990234375,val_loss: 1.6031374176343283, val_perplexity: 4.96859655849422
train_loss: 1.5876457969347635,val_loss: 1.611221937338511, val_perplexity: 5.00892808611806
train_loss: 1.604294240474701,val_loss: 1.5925891598065693, val_perplexity: 4.916461968898101
train_loss: 1.6094090382258097,val_loss: 1.5946471134821574, val_perplexity: 4.926590238057676
train_loss: 1.6181127309799195,val_loss: 1.6042385339736938, val_perplexity: 4.974070574559676
train_loss: 1.6002780437469482,val_loss: 1.6003465056419373, val_perplexity: 4.954748975455004
train_loss: 1.6092129429181417,val_loss: 1.6087915897369385, val_perplexity: 4.996769430621807
train_loss: 1.6030842542648316,val_loss: 1.5995561440785726, val_perplexity: 4.9508344794460495
train_loss: 1.6035099148750305,val_loss: 1.6115157326062521, val_perplexity: 5.010399901681854
train_loss: 1.6143103877703349,val_loss: 1.5868665019671122, val_perplexity: 4.888407090069149
